metric;story;roi;max_corr;mean_corr;n_voxels;vox_gt_0.1;vox_gt_0.2;vox_gt_0.3
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;Precuenus_cortex.nii;0.1532296344245273;0.010971140479151325;1413;50;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;der_katechismus_der_familie_musgrave;vmpfc(frontal_medial_cortex)_L.nii;0.15113838785015182;0.000139394;937865;30;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;vmpfc(frontal_medial_cortex)_L.nii;0.15036603247433183;0.000225291;937865;114;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;dlpfc(middle_frontal_gyrus)_R.nii;0.15029908144572995;-0.002356929;727;12;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;dlpfc(middle_frontal_gyrus)_L.nii;0.15029908144572995;-0.002356929;727;12;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;koenig_pest;Ant_Supramarginal_gyrus_L.nii;0.1495315016245997;0.013121672042121155;292;7;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;koenig_pest;Ant_Supramarginal_gyrus_R.nii;0.1495315016245997;0.013121672042121155;292;7;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;SMA.nii;0.14534084492063304;0.013460242476976473;322;11;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;der_katechismus_der_familie_musgrave;post_Sup_Temporal_gyrus_L.nii;0.14507560872729006;0.038048645480378576;242;8;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;der_katechismus_der_familie_musgrave;post_Sup_Temporal_gyrus_R.nii;0.14507560872729006;0.038048645480378576;242;8;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;post_Sup_Temporal_gyrus_L.nii;0.14276100720920637;0.032357258;242;10;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;post_Sup_Temporal_gyrus_R.nii;0.14276100720920637;0.032357258;242;10;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;vmpfc(frontal_oribtal_cortex)_L.nii;0.14226087642828855;0.009588057;731;15;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;vmpfc(frontal_oribtal_cortex)_R.nii;0.14226087642828855;0.009588057;731;15;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;Angualr_gyrus.nii;0.1411537407886551;0.008098119;332;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;das_manuskript_in_der_flasche;Angualr_gyrus.nii;0.1407905636545188;0.009529662;332;17;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;Paracingulate_gyrus.nii;0.1407455387101328;-0.01158439;809;3;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;IFC_pars_opercularis_L.nii;0.14065183675010207;0.016103128;163;11;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;IFC_pars_opercularis_R.nii;0.14065183675010207;0.016103128;163;11;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;fuenf_apfelsinenkerne;sup_frontal_gyrus.nii;0.13803269764323173;0.001553669;625;4;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;dlpfc(middle_frontal_gyrus)_R.nii;0.13783686907729922;-0.001222859;727;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;dlpfc(middle_frontal_gyrus)_L.nii;0.13783686907729922;-0.001222859;727;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;der_fall_stretelli;vmpfc(frontal_medial_cortex)_L.nii;0.13773623630529713;1.8884871439701193e-05;937865;48;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;Hippocampus_R.nii;0.1367381187654976;0.00800246;198;4;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;sup_frontal_gyrus.nii;0.136584592;0.001639994;625;5;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;sup_frontal_gyrus.nii;0.1362883220202226;0.00654242;625;5;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;Precuenus_cortex.nii;0.1344516769033151;-0.009848984;1413;11;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;das_manuskript_in_der_flasche;Precuenus_cortex.nii;0.1343022217975416;-0.02332407;1413;5;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;vmpfc(frontal_medial_cortex)_R.nii;0.13396206791774914;0.011390056120697763;249;7;0;0
