roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,0,0,0.0,0.0
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,233,0,0.5943877551020408,0.0
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,296,4,0.6192468619246861,0.008368200836820083
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,56,2,0.3393939393939394,0.012121212121212121
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,30,0,0.2631578947368421,0.0
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,78,3,0.2136986301369863,0.00821917808219178
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,129,1,0.36752136752136755,0.002849002849002849
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,30,9,0.08797653958944282,0.026392961876832845
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,23,6,0.054245283018867926,0.014150943396226415
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,1,2,0.011235955056179775,0.02247191011235955
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,2,0,0.021739130434782608,0.0
14_Right_Lateral_Ventricle.nii,272,5,1,0.01838235294117647,0.003676470588235294
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,10,4,0.03058103975535168,0.012232415902140673
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,20,2,0.06153846153846154,0.006153846153846154
15_Right_Thalamus.nii,80,1,3,0.0125,0.0375
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,12,7,0.03305785123966942,0.01928374655647383
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,9,7,0.02631578947368421,0.02046783625730994
16_Right_Caudate.nii,45,1,0,0.022222222222222223,0.0
17_Postcentral_Gyrus_left.nii,1362,49,11,0.035976505139500736,0.008076358296622614
17_Postcentral_Gyrus_right.nii,1274,36,12,0.0282574568288854,0.009419152276295133
18_Superior_Parietal_Lobule_left.nii,726,6,14,0.008264462809917356,0.01928374655647383
18_Superior_Parietal_Lobule_right.nii,452,20,4,0.04424778761061947,0.008849557522123894
19_Right_Hippocampus.nii,262,6,1,0.022900763358778626,0.003816793893129771
