roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
5_Left_Caudate.nii,49,2,11,0.04081632653061224,0.22448979591836735
31_Precuneous_Cortex_left.nii,1174,116,260,0.09880749574105621,0.22146507666098808
30_Cingulate_Gyrus_posterior_division_left.nii,537,69,112,0.12849162011173185,0.2085661080074488
32_Cuneal_Cortex_left.nii,182,24,37,0.13186813186813187,0.2032967032967033
19_Supramarginal_Gyrus_anterior_division_left.nii,401,25,71,0.06234413965087282,0.1770573566084788
21_Angular_Gyrus_left.nii,396,17,70,0.04292929292929293,0.17676767676767677
6_Inferior_Frontal_Gyrus_pars_opercularis_right.nii,297,18,50,0.06060606060606061,0.16835016835016836
25_Frontal_Medial_Cortex_right.nii,182,16,30,0.08791208791208792,0.16483516483516483
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,178,298,0.09668658337859859,0.1618685497012493
40_Occipital_Fusiform_Gyrus_right.nii,674,28,108,0.04154302670623145,0.16023738872403562
4_Middle_Frontal_Gyrus_left.nii,1180,213,175,0.1805084745762712,0.1483050847457627
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,53,54,0.14520547945205478,0.14794520547945206
28_Paracingulate_Gyrus_right.nii,745,63,109,0.08456375838926175,0.14630872483221477
30_Cingulate_Gyrus_posterior_division_right.nii,499,74,73,0.14829659318637275,0.1462925851703407
47_Supracalcarine_Cortex_left.nii,50,3,7,0.06,0.14
36_Lingual_Gyrus_right.nii,827,46,115,0.05562273276904474,0.13905683192261184
31_Precuneous_Cortex_right.nii,989,79,137,0.07987866531850354,0.1385237613751264
24_Intracalcarine_Cortex_left.nii,190,3,26,0.015789473684210527,0.1368421052631579
20_Supramarginal_Gyrus_posterior_division_left.nii,433,124,59,0.2863741339491917,0.13625866050808313
4_Middle_Frontal_Gyrus_right.nii,1334,242,181,0.18140929535232383,0.13568215892053972
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,90,261,0.04665629860031104,0.13530326594090203
3_Superior_Frontal_Gyrus_left.nii,1476,145,192,0.09823848238482384,0.13008130081300814
39_Temporal_Occipital_Fusiform_Cortex_left.nii,430,41,54,0.09534883720930233,0.12558139534883722
15_Right_Thalamus.nii,80,2,10,0.025,0.125
21_Angular_Gyrus_right.nii,577,64,72,0.11091854419410745,0.12478336221837089
