roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
5_Left_Caudate.nii,49,0,4,0.0,0.08163265306122448
21_Angular_Gyrus_left.nii,396,7,24,0.017676767676767676,0.06060606060606061
31_Precuneous_Cortex_left.nii,1174,28,67,0.02385008517887564,0.05706984667802385
30_Cingulate_Gyrus_posterior_division_left.nii,537,24,27,0.0446927374301676,0.05027932960893855
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,50,85,0.027159152634437807,0.04617055947854427
30_Cingulate_Gyrus_posterior_division_right.nii,499,32,21,0.06412825651302605,0.04208416833667335
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,18,15,0.049315068493150684,0.0410958904109589
15_Right_Thalamus.nii,80,1,3,0.0125,0.0375
6_Inferior_Frontal_Gyrus_pars_opercularis_right.nii,297,8,10,0.026936026936026935,0.03367003367003367
25_Frontal_Medial_Cortex_right.nii,182,2,6,0.01098901098901099,0.03296703296703297
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,92,4,0.71875,0.03125
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,26,56,0.01347848626231208,0.029030585795749093
40_Occipital_Fusiform_Gyrus_right.nii,674,7,19,0.010385756676557863,0.028189910979228485
32_Cuneal_Cortex_left.nii,182,7,5,0.038461538461538464,0.027472527472527472
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,30,9,0.08797653958944282,0.026392961876832845
4_Middle_Frontal_Gyrus_left.nii,1180,118,31,0.1,0.026271186440677965
19_Supramarginal_Gyrus_anterior_division_left.nii,401,4,10,0.00997506234413965,0.02493765586034913
28_Paracingulate_Gyrus_right.nii,745,17,18,0.022818791946308724,0.024161073825503355
4_Middle_Frontal_Gyrus_right.nii,1334,132,31,0.09895052473763119,0.023238380809595203
20_Supramarginal_Gyrus_posterior_division_left.nii,433,90,10,0.20785219399538107,0.023094688221709007
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,1,2,0.011235955056179775,0.02247191011235955
2_Insular_Cortex_right.nii,507,25,11,0.04930966469428008,0.021696252465483234
3_Superior_Frontal_Gyrus_left.nii,1476,36,32,0.024390243902439025,0.02168021680216802
24_Intracalcarine_Cortex_left.nii,190,0,4,0.0,0.021052631578947368
28_Paracingulate_Gyrus_left.nii,627,11,13,0.017543859649122806,0.02073365231259968
