roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,0,0,0.0,0.0
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,223,0,0.5688775510204082,0.0
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,277,4,0.5794979079497908,0.008368200836820083
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,52,2,0.3151515151515151,0.012121212121212121
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,27,0,0.23684210526315788,0.0
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,76,3,0.20821917808219179,0.00821917808219178
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,115,1,0.32763532763532766,0.002849002849002849
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,27,9,0.07917888563049853,0.026392961876832845
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,22,6,0.05188679245283019,0.014150943396226415
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,0,2,0.0,0.02247191011235955
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,2,0,0.021739130434782608,0.0
14_Right_Lateral_Ventricle.nii,272,3,1,0.011029411764705883,0.003676470588235294
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,7,4,0.021406727828746176,0.012232415902140673
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,16,2,0.04923076923076923,0.006153846153846154
15_Right_Thalamus.nii,80,0,3,0.0,0.0375
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,9,7,0.024793388429752067,0.01928374655647383
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,6,7,0.017543859649122806,0.02046783625730994
16_Right_Caudate.nii,45,1,0,0.022222222222222223,0.0
17_Postcentral_Gyrus_left.nii,1362,33,11,0.024229074889867842,0.008076358296622614
17_Postcentral_Gyrus_right.nii,1274,22,12,0.01726844583987441,0.009419152276295133
18_Superior_Parietal_Lobule_left.nii,726,4,14,0.005509641873278237,0.01928374655647383
18_Superior_Parietal_Lobule_right.nii,452,14,4,0.030973451327433628,0.008849557522123894
19_Right_Hippocampus.nii,262,6,1,0.022900763358778626,0.003816793893129771
19_Supramarginal_Gyrus_anterior_division_left.nii,401,4,10,0.00997506234413965,0.02493765586034913
19_Supramarginal_Gyrus_anterior_division_right.nii,360,4,2,0.011111111111111112,0.005555555555555556
1_Frontal_Pole_left.nii,3052,22,53,0.007208387942332897,0.017365661861074706
1_Frontal_Pole_right.nii,3841,69,54,0.017964071856287425,0.014058838844051028
20_Right_Amygdala.nii,149,8,1,0.053691275167785234,0.006711409395973154
20_Supramarginal_Gyrus_posterior_division_left.nii,433,89,10,0.20554272517321015,0.023094688221709007
20_Supramarginal_Gyrus_posterior_division_right.nii,725,173,13,0.2386206896551724,0.01793103448275862
21_Angular_Gyrus_left.nii,396,5,24,0.012626262626262626,0.06060606060606061
21_Angular_Gyrus_right.nii,577,13,9,0.022530329289428077,0.01559792027729636
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,16,56,0.00829445308449974,0.029030585795749093
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,34,85,0.018468223791417708,0.04617055947854427
23_Lateral_Occipital_Cortex_inferior_division_left.nii,858,35,5,0.04079254079254079,0.005827505827505828
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,8,7,0.010269576379974325,0.008985879332477536
24_Intracalcarine_Cortex_left.nii,190,0,4,0.0,0.021052631578947368
24_Intracalcarine_Cortex_right.nii,188,1,0,0.005319148936170213,0.0
25_Frontal_Medial_Cortex_left.nii,117,2,1,0.017094017094017096,0.008547008547008548
25_Frontal_Medial_Cortex_right.nii,182,2,6,0.01098901098901099,0.03296703296703297
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,30,1,0.0967741935483871,0.0032258064516129032
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_right.nii,238,14,1,0.058823529411764705,0.004201680672268907
27_Subcallosal_Cortex_left.nii,290,7,3,0.02413793103448276,0.010344827586206896
27_Subcallosal_Cortex_right.nii,314,4,3,0.012738853503184714,0.009554140127388535
28_Paracingulate_Gyrus_left.nii,627,10,13,0.01594896331738437,0.02073365231259968
28_Paracingulate_Gyrus_right.nii,745,10,18,0.013422818791946308,0.024161073825503355
29_Cingulate_Gyrus_anterior_division_left.nii,452,1,4,0.0022123893805309734,0.008849557522123894
29_Cingulate_Gyrus_anterior_division_right.nii,518,7,6,0.013513513513513514,0.011583011583011582
2_Insular_Cortex_left.nii,579,13,6,0.022452504317789293,0.010362694300518135
2_Insular_Cortex_right.nii,507,23,11,0.045364891518737675,0.021696252465483234
30_Cingulate_Gyrus_posterior_division_left.nii,537,16,27,0.0297951582867784,0.05027932960893855
30_Cingulate_Gyrus_posterior_division_right.nii,499,30,21,0.06012024048096192,0.04208416833667335
31_Precuneous_Cortex_left.nii,1174,22,67,0.018739352640545145,0.05706984667802385
31_Precuneous_Cortex_right.nii,989,13,18,0.01314459049544995,0.01820020222446916
32_Cuneal_Cortex_left.nii,182,5,5,0.027472527472527472,0.027472527472527472
32_Cuneal_Cortex_right.nii,147,2,1,0.013605442176870748,0.006802721088435374
33_Frontal_Orbital_Cortex_left.nii,826,14,10,0.01694915254237288,0.012106537530266344
33_Frontal_Orbital_Cortex_right.nii,717,18,9,0.02510460251046025,0.012552301255230125
34_Parahippocampal_Gyrus_anterior_division_left.nii,578,7,8,0.012110726643598616,0.01384083044982699
34_Parahippocampal_Gyrus_anterior_division_right.nii,621,16,8,0.02576489533011272,0.01288244766505636
35_Parahippocampal_Gyrus_posterior_division_left.nii,328,5,2,0.01524390243902439,0.006097560975609756
35_Parahippocampal_Gyrus_posterior_division_right.nii,287,10,1,0.03484320557491289,0.003484320557491289
36_Lingual_Gyrus_left.nii,856,15,13,0.017523364485981307,0.015186915887850467
36_Lingual_Gyrus_right.nii,827,15,13,0.018137847642079808,0.015719467956469165
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,178,4,1,0.02247191011235955,0.0056179775280898875
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,157,2,2,0.012738853503184714,0.012738853503184714
38_Temporal_Fusiform_Cortex_posterior_division_left.nii,455,6,7,0.013186813186813187,0.015384615384615385
38_Temporal_Fusiform_Cortex_posterior_division_right.nii,332,4,3,0.012048192771084338,0.009036144578313253
39_Temporal_Occipital_Fusiform_Cortex_left.nii,430,11,8,0.02558139534883721,0.018604651162790697
39_Temporal_Occipital_Fusiform_Cortex_right.nii,518,6,6,0.011583011583011582,0.011583011583011582
3_Superior_Frontal_Gyrus_left.nii,1476,27,32,0.018292682926829267,0.02168021680216802
3_Superior_Frontal_Gyrus_right.nii,1213,28,21,0.023083264633140973,0.01731244847485573
40_Occipital_Fusiform_Gyrus_left.nii,597,8,4,0.01340033500837521,0.006700167504187605
40_Occipital_Fusiform_Gyrus_right.nii,674,6,19,0.008902077151335312,0.028189910979228485
41_Frontal_Operculum_Cortex_left.nii,213,6,4,0.028169014084507043,0.018779342723004695
41_Frontal_Operculum_Cortex_right.nii,154,3,2,0.01948051948051948,0.012987012987012988
42_Central_Opercular_Cortex_left.nii,401,122,1,0.30423940149625933,0.0024937655860349127
42_Central_Opercular_Cortex_right.nii,373,72,5,0.19302949061662197,0.013404825737265416
43_Parietal_Operculum_Cortex_left.nii,190,96,0,0.5052631578947369,0.0
43_Parietal_Operculum_Cortex_right.nii,156,24,3,0.15384615384615385,0.019230769230769232
44_Planum_Polare_left.nii,147,60,0,0.40816326530612246,0.0
44_Planum_Polare_right.nii,145,55,1,0.3793103448275862,0.006896551724137931
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,63,0,0.7777777777777778,0.0
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,52,0,0.7428571428571429,0.0
46_Planum_Temporale_left.nii,97,68,1,0.7010309278350515,0.010309278350515464
46_Planum_Temporale_right.nii,82,32,0,0.3902439024390244,0.0
47_Supracalcarine_Cortex_left.nii,50,0,1,0.0,0.02
47_Supracalcarine_Cortex_right.nii,23,0,0,0.0,0.0
48_Occipital_Pole_left.nii,835,0,6,0.0,0.00718562874251497
48_Occipital_Pole_right.nii,748,2,4,0.00267379679144385,0.0053475935828877
4_Left_Thalamus.nii,123,0,0,0.0,0.0
4_Middle_Frontal_Gyrus_left.nii,1180,110,31,0.09322033898305085,0.026271186440677965
4_Middle_Frontal_Gyrus_right.nii,1334,108,31,0.08095952023988005,0.023238380809595203
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,17,15,0.04657534246575343,0.0410958904109589
