roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
24_Intracalcarine_Cortex_right.nii,188,133,91,0.7074468085106383,0.48404255319148937
47_Supracalcarine_Cortex_left.nii,50,31,8,0.62,0.16
10_Left_Amygdala.nii,106,62,54,0.5849056603773585,0.5094339622641509
48_Occipital_Pole_left.nii,835,488,307,0.5844311377245509,0.36766467065868264
24_Intracalcarine_Cortex_left.nii,190,108,28,0.5684210526315789,0.14736842105263157
47_Supracalcarine_Cortex_right.nii,23,13,6,0.5652173913043478,0.2608695652173913
40_Occipital_Fusiform_Gyrus_right.nii,674,374,318,0.5548961424332344,0.47181008902077154
4_Left_Thalamus.nii,123,65,57,0.5284552845528455,0.4634146341463415
14_Right_Lateral_Ventricle.nii,272,143,140,0.5257352941176471,0.5147058823529411
48_Occipital_Pole_right.nii,748,385,342,0.5147058823529411,0.4572192513368984
5_Left_Caudate.nii,49,25,24,0.5102040816326531,0.4897959183673469
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,174,142,0.5087719298245614,0.4152046783625731
36_Lingual_Gyrus_right.nii,827,413,333,0.49939540507859737,0.4026602176541717
40_Occipital_Fusiform_Gyrus_left.nii,597,298,290,0.4991624790619765,0.48576214405360135
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,157,78,57,0.4968152866242038,0.3630573248407643
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,44,30,0.4943820224719101,0.33707865168539325
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,384,374,0.49293966623876767,0.48010269576379977
16_Right_Caudate.nii,45,22,23,0.4888888888888889,0.5111111111111111
18_Superior_Parietal_Lobule_left.nii,726,353,230,0.48622589531680444,0.3168044077134986
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,61,53,0.4765625,0.4140625
35_Parahippocampal_Gyrus_posterior_division_left.nii,328,154,160,0.4695121951219512,0.4878048780487805
29_Cingulate_Gyrus_anterior_division_right.nii,518,242,216,0.4671814671814672,0.416988416988417
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,896,688,0.4644893727319855,0.35666148263348885
39_Temporal_Occipital_Fusiform_Cortex_right.nii,518,240,193,0.46332046332046334,0.37258687258687256
19_Supramarginal_Gyrus_anterior_division_right.nii,360,165,129,0.4583333333333333,0.35833333333333334
