roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,0,1,0.0,0.009433962264150943
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,218,0,0.5561224489795918,0.0
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,275,1,0.5753138075313807,0.0020920502092050207
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,50,2,0.30303030303030304,0.012121212121212121
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,26,0,0.22807017543859648,0.0
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,76,1,0.20821917808219179,0.0027397260273972603
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,116,0,0.33048433048433046,0.0
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,27,8,0.07917888563049853,0.02346041055718475
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,20,5,0.04716981132075472,0.01179245283018868
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,0,0,0.0,0.0
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,2,1,0.021739130434782608,0.010869565217391304
14_Right_Lateral_Ventricle.nii,272,3,4,0.011029411764705883,0.014705882352941176
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,7,6,0.021406727828746176,0.01834862385321101
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,19,2,0.05846153846153846,0.006153846153846154
15_Right_Thalamus.nii,80,0,2,0.0,0.025
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,8,7,0.02203856749311295,0.01928374655647383
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,8,3,0.023391812865497075,0.008771929824561403
16_Right_Caudate.nii,45,1,0,0.022222222222222223,0.0
17_Postcentral_Gyrus_left.nii,1362,35,11,0.02569750367107195,0.008076358296622614
17_Postcentral_Gyrus_right.nii,1274,22,12,0.01726844583987441,0.009419152276295133
18_Superior_Parietal_Lobule_left.nii,726,5,1,0.006887052341597796,0.0013774104683195593
18_Superior_Parietal_Lobule_right.nii,452,15,2,0.033185840707964605,0.004424778761061947
19_Right_Hippocampus.nii,262,6,2,0.022900763358778626,0.007633587786259542
19_Supramarginal_Gyrus_anterior_division_left.nii,401,4,6,0.00997506234413965,0.014962593516209476
19_Supramarginal_Gyrus_anterior_division_right.nii,360,4,3,0.011111111111111112,0.008333333333333333
1_Frontal_Pole_left.nii,3052,23,21,0.007536041939711665,0.006880733944954129
1_Frontal_Pole_right.nii,3841,63,38,0.016401978651392868,0.009893256964332206
20_Right_Amygdala.nii,149,7,1,0.04697986577181208,0.006711409395973154
20_Supramarginal_Gyrus_posterior_division_left.nii,433,87,8,0.20092378752886836,0.018475750577367205
20_Supramarginal_Gyrus_posterior_division_right.nii,725,168,7,0.2317241379310345,0.009655172413793104
21_Angular_Gyrus_left.nii,396,6,5,0.015151515151515152,0.012626262626262626
21_Angular_Gyrus_right.nii,577,13,2,0.022530329289428077,0.0034662045060658577
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,19,35,0.009849663037843442,0.018144116122343183
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,32,17,0.017381857686040194,0.009234111895708854
23_Lateral_Occipital_Cortex_inferior_division_left.nii,858,33,3,0.038461538461538464,0.0034965034965034965
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,7,6,0.008985879332477536,0.007702182284980745
24_Intracalcarine_Cortex_left.nii,190,0,5,0.0,0.02631578947368421
24_Intracalcarine_Cortex_right.nii,188,0,1,0.0,0.005319148936170213
25_Frontal_Medial_Cortex_left.nii,117,2,0,0.017094017094017096,0.0
25_Frontal_Medial_Cortex_right.nii,182,2,7,0.01098901098901099,0.038461538461538464
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,29,0,0.0935483870967742,0.0
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_right.nii,238,14,1,0.058823529411764705,0.004201680672268907
27_Subcallosal_Cortex_left.nii,290,7,3,0.02413793103448276,0.010344827586206896
27_Subcallosal_Cortex_right.nii,314,5,8,0.01592356687898089,0.025477707006369428
28_Paracingulate_Gyrus_left.nii,627,10,4,0.01594896331738437,0.006379585326953748
28_Paracingulate_Gyrus_right.nii,745,11,8,0.01476510067114094,0.010738255033557046
29_Cingulate_Gyrus_anterior_division_left.nii,452,0,2,0.0,0.004424778761061947
29_Cingulate_Gyrus_anterior_division_right.nii,518,8,3,0.015444015444015444,0.005791505791505791
2_Insular_Cortex_left.nii,579,14,12,0.024179620034542316,0.02072538860103627
2_Insular_Cortex_right.nii,507,22,5,0.04339250493096647,0.009861932938856016
30_Cingulate_Gyrus_posterior_division_left.nii,537,18,24,0.0335195530726257,0.0446927374301676
30_Cingulate_Gyrus_posterior_division_right.nii,499,28,11,0.056112224448897796,0.022044088176352707
31_Precuneous_Cortex_left.nii,1174,25,54,0.02129471890971039,0.04599659284497445
31_Precuneous_Cortex_right.nii,989,14,13,0.014155712841253791,0.01314459049544995
32_Cuneal_Cortex_left.nii,182,5,4,0.027472527472527472,0.02197802197802198
32_Cuneal_Cortex_right.nii,147,2,5,0.013605442176870748,0.034013605442176874
33_Frontal_Orbital_Cortex_left.nii,826,15,4,0.018159806295399514,0.004842615012106538
33_Frontal_Orbital_Cortex_right.nii,717,17,5,0.023709902370990237,0.00697350069735007
34_Parahippocampal_Gyrus_anterior_division_left.nii,578,7,6,0.012110726643598616,0.010380622837370242
34_Parahippocampal_Gyrus_anterior_division_right.nii,621,16,5,0.02576489533011272,0.008051529790660225
35_Parahippocampal_Gyrus_posterior_division_left.nii,328,5,0,0.01524390243902439,0.0
35_Parahippocampal_Gyrus_posterior_division_right.nii,287,13,5,0.04529616724738676,0.017421602787456445
36_Lingual_Gyrus_left.nii,856,15,8,0.017523364485981307,0.009345794392523364
36_Lingual_Gyrus_right.nii,827,14,7,0.016928657799274487,0.008464328899637243
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,178,4,4,0.02247191011235955,0.02247191011235955
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,157,2,1,0.012738853503184714,0.006369426751592357
38_Temporal_Fusiform_Cortex_posterior_division_left.nii,455,6,3,0.013186813186813187,0.006593406593406593
38_Temporal_Fusiform_Cortex_posterior_division_right.nii,332,2,4,0.006024096385542169,0.012048192771084338
39_Temporal_Occipital_Fusiform_Cortex_left.nii,430,8,6,0.018604651162790697,0.013953488372093023
39_Temporal_Occipital_Fusiform_Cortex_right.nii,518,6,5,0.011583011583011582,0.009652509652509652
