roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
47_Supracalcarine_Cortex_left.nii,50,2,13,0.04,0.26
47_Supracalcarine_Cortex_right.nii,23,2,5,0.08695652173913043,0.21739130434782608
31_Precuneous_Cortex_left.nii,1174,127,243,0.10817717206132879,0.206984667802385
30_Cingulate_Gyrus_posterior_division_left.nii,537,72,101,0.1340782122905028,0.18808193668528864
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,53,64,0.14520547945205478,0.17534246575342466
5_Left_Caudate.nii,49,2,8,0.04081632653061224,0.16326530612244897
32_Cuneal_Cortex_left.nii,182,24,29,0.13186813186813187,0.15934065934065933
21_Angular_Gyrus_left.nii,396,19,58,0.047979797979797977,0.14646464646464646
3_Superior_Frontal_Gyrus_left.nii,1476,149,199,0.10094850948509485,0.1348238482384824
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,157,12,21,0.07643312101910828,0.1337579617834395
31_Precuneous_Cortex_right.nii,989,79,130,0.07987866531850354,0.13144590495449948
39_Temporal_Occipital_Fusiform_Cortex_right.nii,518,40,68,0.07722007722007722,0.13127413127413126
19_Supramarginal_Gyrus_anterior_division_left.nii,401,26,52,0.06483790523690773,0.12967581047381546
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,178,19,23,0.10674157303370786,0.12921348314606743
30_Cingulate_Gyrus_posterior_division_right.nii,499,74,64,0.14829659318637275,0.1282565130260521
27_Subcallosal_Cortex_right.nii,314,26,40,0.08280254777070063,0.12738853503184713
36_Lingual_Gyrus_right.nii,827,49,105,0.0592503022974607,0.12696493349455865
24_Intracalcarine_Cortex_left.nii,190,3,24,0.015789473684210527,0.12631578947368421
18_Superior_Parietal_Lobule_left.nii,726,38,91,0.05234159779614325,0.12534435261707988
15_Right_Thalamus.nii,80,2,10,0.025,0.125
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,5,11,0.056179775280898875,0.12359550561797752
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,97,235,0.05028512182477968,0.12182477967858994
4_Middle_Frontal_Gyrus_left.nii,1180,219,140,0.18559322033898304,0.11864406779661017
35_Parahippocampal_Gyrus_posterior_division_right.nii,287,24,34,0.08362369337979095,0.11846689895470383
42_Central_Opercular_Cortex_right.nii,373,115,44,0.30831099195710454,0.11796246648793565
