roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,62,54,0.5849056603773585,0.5094339622641509
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,95,184,0.2423469387755102,0.46938775510204084
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,84,181,0.17573221757322174,0.3786610878661088
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,46,63,0.2787878787878788,0.38181818181818183
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,27,52,0.23684210526315788,0.45614035087719296
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,115,173,0.3150684931506849,0.473972602739726
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,85,153,0.24216524216524216,0.4358974358974359
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,120,142,0.3519061583577713,0.41642228739002934
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,161,209,0.37971698113207547,0.49292452830188677
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,44,30,0.4943820224719101,0.33707865168539325
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,34,36,0.3695652173913043,0.391304347826087
14_Right_Lateral_Ventricle.nii,272,143,140,0.5257352941176471,0.5147058823529411
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,110,139,0.3363914373088685,0.42507645259938837
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,129,136,0.39692307692307693,0.41846153846153844
15_Right_Thalamus.nii,80,33,37,0.4125,0.4625
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,151,161,0.41597796143250687,0.44352617079889806
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,174,142,0.5087719298245614,0.4152046783625731
16_Right_Caudate.nii,45,22,23,0.4888888888888889,0.5111111111111111
17_Postcentral_Gyrus_left.nii,1362,536,550,0.3935389133627019,0.40381791483113066
17_Postcentral_Gyrus_right.nii,1274,534,491,0.41915227629513346,0.38540031397174257
18_Superior_Parietal_Lobule_left.nii,726,353,230,0.48622589531680444,0.3168044077134986
18_Superior_Parietal_Lobule_right.nii,452,144,125,0.3185840707964602,0.27654867256637167
19_Right_Hippocampus.nii,262,119,122,0.4541984732824427,0.46564885496183206
19_Supramarginal_Gyrus_anterior_division_left.nii,401,170,140,0.4239401496259352,0.3491271820448878
19_Supramarginal_Gyrus_anterior_division_right.nii,360,165,129,0.4583333333333333,0.35833333333333334
1_Frontal_Pole_left.nii,3052,1379,1222,0.4518348623853211,0.40039318479685454
1_Frontal_Pole_right.nii,3841,1645,1651,0.42827388700859154,0.42983598021348607
20_Right_Amygdala.nii,149,50,73,0.33557046979865773,0.4899328859060403
20_Supramarginal_Gyrus_posterior_division_left.nii,433,179,198,0.4133949191685912,0.45727482678983833
20_Supramarginal_Gyrus_posterior_division_right.nii,725,258,294,0.35586206896551725,0.40551724137931033
21_Angular_Gyrus_left.nii,396,178,151,0.4494949494949495,0.3813131313131313
21_Angular_Gyrus_right.nii,577,230,280,0.3986135181975737,0.4852686308492201
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,896,688,0.4644893727319855,0.35666148263348885
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,803,869,0.43617599130907114,0.4720260727865291
23_Lateral_Occipital_Cortex_inferior_division_left.nii,858,333,309,0.3881118881118881,0.36013986013986016
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,384,374,0.49293966623876767,0.48010269576379977
24_Intracalcarine_Cortex_left.nii,190,108,28,0.5684210526315789,0.14736842105263157
24_Intracalcarine_Cortex_right.nii,188,133,91,0.7074468085106383,0.48404255319148937
25_Frontal_Medial_Cortex_left.nii,117,52,52,0.4444444444444444,0.4444444444444444
25_Frontal_Medial_Cortex_right.nii,182,66,69,0.3626373626373626,0.3791208791208791
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,111,117,0.3580645161290323,0.3774193548387097
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_right.nii,238,94,94,0.3949579831932773,0.3949579831932773
27_Subcallosal_Cortex_left.nii,290,113,126,0.3896551724137931,0.43448275862068964
27_Subcallosal_Cortex_right.nii,314,113,126,0.35987261146496813,0.4012738853503185
28_Paracingulate_Gyrus_left.nii,627,283,227,0.4513556618819777,0.3620414673046252
28_Paracingulate_Gyrus_right.nii,745,337,286,0.45234899328859063,0.3838926174496644
29_Cingulate_Gyrus_anterior_division_left.nii,452,200,193,0.4424778761061947,0.4269911504424779
