roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,0,0,0.0,0.0
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,232,0,0.5918367346938775,0.0
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,291,3,0.608786610878661,0.006276150627615063
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,54,2,0.32727272727272727,0.012121212121212121
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,29,1,0.2543859649122807,0.008771929824561403
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,77,3,0.21095890410958903,0.00821917808219178
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,128,2,0.3646723646723647,0.005698005698005698
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,30,11,0.08797653958944282,0.03225806451612903
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,23,4,0.054245283018867926,0.009433962264150943
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,1,1,0.011235955056179775,0.011235955056179775
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,2,1,0.021739130434782608,0.010869565217391304
14_Right_Lateral_Ventricle.nii,272,4,6,0.014705882352941176,0.022058823529411766
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,10,5,0.03058103975535168,0.01529051987767584
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,21,2,0.06461538461538462,0.006153846153846154
15_Right_Thalamus.nii,80,1,2,0.0125,0.025
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,15,5,0.04132231404958678,0.013774104683195593
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,9,6,0.02631578947368421,0.017543859649122806
16_Right_Caudate.nii,45,1,0,0.022222222222222223,0.0
17_Postcentral_Gyrus_left.nii,1362,48,12,0.03524229074889868,0.00881057268722467
17_Postcentral_Gyrus_right.nii,1274,36,13,0.0282574568288854,0.01020408163265306
18_Superior_Parietal_Lobule_left.nii,726,6,9,0.008264462809917356,0.012396694214876033
18_Superior_Parietal_Lobule_right.nii,452,20,4,0.04424778761061947,0.008849557522123894
19_Right_Hippocampus.nii,262,6,3,0.022900763358778626,0.011450381679389313
19_Supramarginal_Gyrus_anterior_division_left.nii,401,6,11,0.014962593516209476,0.02743142144638404
19_Supramarginal_Gyrus_anterior_division_right.nii,360,5,1,0.013888888888888888,0.002777777777777778
