roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
24_Intracalcarine_Cortex_right.nii,188,135,112,0.7180851063829787,0.5957446808510638
46_Planum_Temporale_left.nii,97,36,56,0.3711340206185567,0.5773195876288659
46_Planum_Temporale_right.nii,82,19,47,0.23170731707317074,0.573170731707317
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,59,75,0.44696969696969696,0.5681818181818182
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,28,45,0.345679012345679,0.5555555555555556
43_Parietal_Operculum_Cortex_left.nii,190,36,103,0.18947368421052632,0.5421052631578948
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,28,61,0.24561403508771928,0.5350877192982456
44_Planum_Polare_right.nii,145,51,77,0.35172413793103446,0.5310344827586206
41_Frontal_Operculum_Cortex_right.nii,154,58,80,0.37662337662337664,0.5194805194805194
14_Right_Lateral_Ventricle.nii,272,140,140,0.5147058823529411,0.5147058823529411
4_Left_Thalamus.nii,123,63,63,0.5121951219512195,0.5121951219512195
10_Left_Amygdala.nii,106,64,53,0.6037735849056604,0.5
20_Right_Amygdala.nii,149,52,74,0.348993288590604,0.4966442953020134
40_Occipital_Fusiform_Gyrus_left.nii,597,296,293,0.49581239530988275,0.490787269681742
16_Right_Caudate.nii,45,20,22,0.4444444444444444,0.4888888888888889
43_Parietal_Operculum_Cortex_right.nii,156,46,76,0.2948717948717949,0.48717948717948717
39_Temporal_Occipital_Fusiform_Cortex_left.nii,430,193,209,0.44883720930232557,0.48604651162790696
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,12,34,0.17142857142857143,0.4857142857142857
42_Central_Opercular_Cortex_right.nii,373,118,181,0.3163538873994638,0.48525469168900803
29_Cingulate_Gyrus_anterior_division_left.nii,452,195,218,0.4314159292035398,0.4823008849557522
35_Parahippocampal_Gyrus_posterior_division_left.nii,328,157,158,0.47865853658536583,0.4817073170731707
20_Supramarginal_Gyrus_posterior_division_left.nii,433,181,208,0.418013856812933,0.48036951501154734
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,372,373,0.47753530166880614,0.47881899871630296
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,164,203,0.3867924528301887,0.47877358490566035
32_Cuneal_Cortex_right.nii,147,51,70,0.3469387755102041,0.47619047619047616
