roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
31_Precuneous_Cortex_left.nii,1174,26,57,0.022146507666098807,0.048551959114139696
21_Angular_Gyrus_left.nii,396,6,18,0.015151515151515152,0.045454545454545456
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,52,83,0.028245518739815317,0.045084193373166756
5_Left_Caudate.nii,49,0,2,0.0,0.04081632653061224
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,17,13,0.04657534246575343,0.03561643835616438
6_Inferior_Frontal_Gyrus_pars_opercularis_right.nii,297,9,10,0.030303030303030304,0.03367003367003367
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,30,11,0.08797653958944282,0.03225806451612903
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,92,4,0.71875,0.03125
30_Cingulate_Gyrus_posterior_division_left.nii,537,26,16,0.048417132216014895,0.0297951582867784
40_Occipital_Fusiform_Gyrus_right.nii,674,7,19,0.010385756676557863,0.028189910979228485
19_Supramarginal_Gyrus_anterior_division_left.nii,401,6,11,0.014962593516209476,0.02743142144638404
30_Cingulate_Gyrus_posterior_division_right.nii,499,31,13,0.06212424849699399,0.026052104208416832
28_Paracingulate_Gyrus_right.nii,745,17,19,0.022818791946308724,0.025503355704697986
15_Right_Thalamus.nii,80,1,2,0.0125,0.025
46_Planum_Temporale_right.nii,82,35,2,0.4268292682926829,0.024390243902439025
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,25,46,0.012960082944530845,0.023846552617936754
20_Supramarginal_Gyrus_posterior_division_right.nii,725,183,17,0.2524137931034483,0.023448275862068966
14_Right_Lateral_Ventricle.nii,272,4,6,0.014705882352941176,0.022058823529411766
47_Supracalcarine_Cortex_left.nii,50,0,1,0.0,0.02
