roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,64,1,0.7901234567901234,0.012345679012345678
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,53,1,0.7571428571428571,0.014285714285714285
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,91,7,0.7109375,0.0546875
46_Planum_Temporale_left.nii,97,67,1,0.6907216494845361,0.010309278350515464
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,80,2,0.6060606060606061,0.015151515151515152
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,275,9,0.5753138075313807,0.01882845188284519
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,224,3,0.5714285714285714,0.007653061224489796
43_Parietal_Operculum_Cortex_left.nii,190,96,1,0.5052631578947369,0.005263157894736842
44_Planum_Polare_left.nii,147,60,0,0.40816326530612246,0.0
46_Planum_Temporale_right.nii,82,32,2,0.3902439024390244,0.024390243902439025
44_Planum_Polare_right.nii,145,55,0,0.3793103448275862,0.0
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,114,2,0.3247863247863248,0.005698005698005698
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,50,4,0.30303030303030304,0.024242424242424242
42_Central_Opercular_Cortex_left.nii,401,121,4,0.30174563591022446,0.00997506234413965
20_Supramarginal_Gyrus_posterior_division_right.nii,725,172,23,0.23724137931034484,0.031724137931034485
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,26,3,0.22807017543859648,0.02631578947368421
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,75,3,0.2054794520547945,0.00821917808219178
20_Supramarginal_Gyrus_posterior_division_left.nii,433,88,15,0.20323325635103925,0.03464203233256351
5_Inferior_Frontal_Gyrus_pars_triangularis_right.nii,314,62,6,0.19745222929936307,0.01910828025477707
42_Central_Opercular_Cortex_right.nii,373,71,8,0.1903485254691689,0.021447721179624665
43_Parietal_Operculum_Cortex_right.nii,156,24,4,0.15384615384615385,0.02564102564102564
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,30,4,0.0967741935483871,0.012903225806451613
4_Middle_Frontal_Gyrus_left.nii,1180,108,38,0.09152542372881356,0.03220338983050847
8_Temporal_Pole_right.nii,1264,114,31,0.09018987341772151,0.0245253164556962
8_Temporal_Pole_left.nii,1249,108,22,0.08646917534027222,0.017614091273018415
