roi,mean_beta_shift_unique,mean_beta_drift_unique,mean_delta_beta,p_simes_unique_shift,p_simes_unique_drift,p_simes_delta_beta,direction,n_vox
10_Left_Amygdala.nii,-0.00042183235065431377,1.6695871663039564e-05,-0.0004385282223173535,0.43708436955190016,0.22519089756143998,0.3174845498068648,n.s.,106
10_Superior_Temporal_Gyrus_posterior_division_left.nii,0.058866774425019135,0.0068060663572702355,0.0520607080677489,2.1143967269706133e-08,0.24984526810815152,1.2635044169210954e-06,shift>drift,392
10_Superior_Temporal_Gyrus_posterior_division_right.nii,0.051108853881665195,0.00540738867824736,0.04570146520341783,3.745229154209864e-08,0.06678844733451261,1.1683785734122162e-06,shift>drift,478
11_Left_Accumbens.nii,4.875462480183673e-05,-0.0002647988653893665,0.00031355349019120316,0.3373568911328239,0.7202978935973016,0.4328548694254805,n.s.,10
11_Middle_Temporal_Gyrus_anterior_division_left.nii,0.03168516100995774,-0.0026704723244200188,0.03435563333437776,5.501270989399307e-07,0.011717954305501108,5.255473045834174e-06,shift>drift,165
11_Middle_Temporal_Gyrus_anterior_division_right.nii,0.01951296672245847,3.0300658214148917e-05,0.019482666064244324,5.859311919482914e-06,0.004760355316696964,3.8839178756196486e-06,shift>drift,114
12_Middle_Temporal_Gyrus_posterior_division_left.nii,0.017927959509378345,0.0027607966749237595,0.015167162834454585,5.170319892427578e-07,0.007997195050219091,5.5305924156580296e-06,shift>drift,365
12_Middle_Temporal_Gyrus_posterior_division_right.nii,0.025745234790077585,0.004188068250530749,0.021557166539546833,2.640895101733456e-09,0.11536091499917026,3.707949187761442e-06,shift>drift,351
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,0.010463082713911465,0.00047710301574512514,0.009985979698166338,2.5015972322642394e-05,0.0009097131005057354,0.0026366236699471375,shift>drift,341
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,0.001644908301076848,-0.0016755300404787325,0.003320438341555582,4.262269714173244e-07,0.05486351380638946,6.446835520926979e-05,shift>drift,424
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,0.001828205245301473,-0.002625176347020146,0.004453381592321619,0.14465233993196674,0.03390648235853853,0.21597613199433616,n.s.,89
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,-0.00017422631708562822,0.0002911782375270005,-0.00046540455461262903,0.019468654613449397,0.06528716724345819,0.014509382481462288,drift>shift,92
14_Right_Lateral_Ventricle.nii,-0.00019786303462610792,-0.0020196675774549126,0.0018218045428288043,0.15390015365846124,0.011550822269559825,0.09043238407615702,n.s.,272
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,0.004187869681469078,0.0004997705975739121,0.0036880990838951645,0.008102326207105201,0.013169398595458412,0.0408261523929429,shift>drift,327
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,0.0036797692031777986,0.0009985554029039337,0.0026812138002738654,0.0036245775938093445,0.042207449275000204,0.026221611786973787,shift>drift,325
15_Right_Thalamus.nii,-0.0017985999702529979,-0.004411578383122452,0.002612978412869454,0.2414313343979549,0.0015639606537923576,0.27220624039706964,n.s.,80
